canonical_name,address,address_space,functional_block,scope,fields,access,privilege_or_plm,persistence,initialization_stage,known_writer,known_reader,activity,classification,device_sku,hbm_vendor,state,value,source_locator,confidence,notes
FBPA_CFG0_BROADCAST,0x009a0200,BAR0,geometry,broadcast,unknown,RW,geometry PLM set,until-FLR,devinit,devinit and HS refire,probe and RM,active,confirmed,CMP 170HX and A100,unknown,stock and unlocked,0x07981800,artifacts/sources/consensus-cmp170hx/docs/appendix/register-index.md:267,high,Same on CMP and A100 40/80; not the capacity selector
FBPA_CFG1_BROADCAST,0x009a0204,BAR0,geometry,broadcast,tier byte bits[23:16],RW,PLM 0x009a0148,until-FLR,devinit,devinit and HS refire,probe and RM,active,confirmed,CMP 170HX,unknown,stock 10GB,0x02449000,artifacts/sources/consensus-cmp170hx/docs/frontier/80gb.md:47,high,Addressing-depth selector
FBPA_CFG1_BROADCAST,0x009a0204,BAR0,geometry,broadcast,tier byte bits[23:16],RW,PLM 0x009a0148,until-FLR,HS-refire,shipping unlock,probe and RM,active,confirmed,CMP 170HX 10GB,unknown,stable 40GB,0x02669000,artifacts/sources/consensus-cmp170hx/docs/frontier/80gb.md:47,high,Shipping supported tier
FBPA_CFG1_BROADCAST,0x009a0204,BAR0,geometry,broadcast,tier byte bits[23:16],RW,PLM 0x009a0148,until-FLR,HS-refire,clean-room refire,probe and RM,active,confirmed,CMP 170HX 10GB,unknown,coherent 80GB experiment,0x02779000,artifacts/sources/consensus-cmp170hx/docs/frontier/80gb.md:218,high,Dense tags reached 77.5GiB without folding but Xid 154 remained
FBPA_CFG1_UNICAST,0x00900204 + n*0x4000,BAR0,geometry,per-FBPA,tier byte bits[23:16],RW,per-instance geometry PLM,until-FLR,devinit,devinit and driverless refire,probe,active,confirmed,GA100,unknown,driverless,instance value,artifacts/sources/consensus-cmp170hx/docs/appendix/register-index.md:255,high,All 24 instances must be handled when devinit is absent; floorswept instances return sentinels
FBPA_CSTATUS_RAMAMOUNT,0x0090020c + n*0x4000,BAR0,geometry,per-FBPA,reported RAM amount,derived,none known,until-FLR,hardware-derived,hardware,probe and RM,status-only,confirmed,CMP 170HX,unknown,stock 10GB,0x00000200,artifacts/sources/consensus-cmp170hx/docs/frontier/80gb.md:270,high,512MiB times 20 active FBPAs
FBPA_CSTATUS_RAMAMOUNT,0x0090020c + n*0x4000,BAR0,geometry,per-FBPA,reported RAM amount,derived,none known,until-FLR,hardware-derived,hardware,probe and RM,status-only,confirmed,CMP 170HX 10GB,unknown,40GB tier,0x00000800,artifacts/sources/consensus-cmp170hx/docs/frontier/80gb.md:271,high,Reported size is not proof of non-aliased memory
FBPA_CSTATUS_RAMAMOUNT,0x0090020c + n*0x4000,BAR0,geometry,per-FBPA,reported RAM amount,derived,none known,until-FLR,hardware-derived,hardware,probe and RM,status-only,confirmed,CMP 170HX,unknown,64/80 geometry tier,0x00001000,artifacts/sources/consensus-cmp170hx/docs/frontier/80gb.md:272,high,Observed on unlocked 64GB and coherent 80GB geometries depending active FBPA count
FBPA_LMR,0x00100ce0,BAR0,geometry,broadcast,local-memory range encoding,RW,unknown,until-FLR,driver-runtime,RM or refire,probe and RM,active,confirmed,CMP 170HX,unknown,stock 10GB,0x00000288,artifacts/sources/consensus-cmp170hx/docs/frontier/80gb.md:49,high,Geometry companion
FBPA_LMR,0x00100ce0,BAR0,geometry,broadcast,local-memory range encoding,RW,unknown,until-FLR,driver-runtime,RM or refire,probe and RM,active,confirmed,CMP 170HX 10GB,unknown,stable 40GB,0x0000028a,artifacts/sources/consensus-cmp170hx/docs/frontier/80gb.md:49,high,Coherent with CFG1 0x02669000
FBPA_LMR,0x00100ce0,BAR0,geometry,broadcast,local-memory range encoding,RW,unknown,until-FLR,driver-runtime,clean-room refire,probe and RM,active,confirmed,CMP 170HX 10GB,unknown,coherent 80GB experiment,0x0000028b,artifacts/sources/consensus-cmp170hx/docs/frontier/80gb.md:218,high,Old 80 branch metadata said 0x28b but compiled payload used 0x28a
FBPA_LMR,0x00100ce0,BAR0,geometry,broadcast,local-memory range encoding,RW,unknown,until-FLR,driver-runtime,old 80 branch,probe and RM,active,conflict,CMP 170HX 10GB,unknown,incoherent old 80 branch,0x0000028a,artifacts/sources/consensus-cmp170hx/docs/frontier/80gb.md:49,high,Paired with CFG1 0x02779000 and caused an exact 40GiB fold
L2_ADDRESS_DECODE,0x0017e2a0,BAR0,geometry,broadcast,2GiB/channel versus 4GiB/channel mode,RW,unknown,runtime,driver-runtime,hardware workload or patched driver,probe,active,inferred,CMP 170HX,unknown,coherent 80GB,0x10000300,artifacts/sources/consensus-cmp170hx/docs/frontier/80gb.md:218,medium,Necessary companion in no-fold runs; not sufficient under incoherent LMR
FBPA_TIMING1,0x009a0224,BAR0,timing,broadcast,R2W=18 W2R=13 R2P=5 W2P=18,RW,unknown,boot-latched,devinit,devinit or MODS,probe,inactive,confirmed,CMP 170HX,unknown,stock,0x12050d12,artifacts/sources/consensus-cmp170hx/docs/appendix/register-index.md:272,high,Writable copy is inert while CONFIG0.USE_TIMING_REGS=0
FBPA_TIMING12,0x009a0250,BAR0,timing,broadcast,CKE=10 LOCKPLL=3000,RW,unknown,boot-latched,devinit,devinit or MODS,probe,inactive,confirmed,CMP 170HX,unknown,stock,0x0bb800a1,artifacts/sources/consensus-cmp170hx/docs/hardware/memory-subsystem.md:381,high,Part of writable timing bank
FBPA_TIMING_WRITABLE_BANK,0x009a0220,BAR0,timing,range,TIMING0 through TIMING20,RW,unknown,boot-latched,devinit,devinit or MODS,probe,inactive,confirmed,CMP 170HX,unknown,USE_TIMING_REGS=0,0x009a0220-0x009a028c,artifacts/sources/consensus-cmp170hx/docs/hardware/memory-subsystem.md:350,high,Writes do not affect live timings in observed mode
FBPA_CONFIG0,0x009a0290,BAR0,timing,broadcast,USE_TIMING_REGS bit31; tRC tRFC tRAS fields,RW,unknown,boot-latched,devinit,devinit or MODS,probe,active,confirmed,CMP 170HX,unknown,stock,0x1255b93c,artifacts/sources/consensus-cmp170hx/docs/hardware/memory-subsystem.md:369,high,Selects generated shadows because bit31 is zero
